job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
entrepreneur,married,university.degree,unknown,yes,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
services,married,unknown,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
services,married,high.school,unknown,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
housemaid,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
services,divorced,high.school,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
admin,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,yes,yes,telephone,jun,thu,nonexistent,no
housemaid,married,high.school,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,yes,telephone,jun,thu,nonexistent,no
management,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
services,married,high.school,no,yes,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
admin,divorced,high.school,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,unknown,no,no,telephone,jun,thu,nonexistent,no
services,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
unemployed,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,university.degree,unknown,no,yes,telephone,jun,thu,nonexistent,yes
blue-collar,single,basic,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,yes,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,single,basic,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,single,high.school,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,high.school,no,no,no,telephone,jun,thu,nonexistent,yes
housemaid,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
services,married,basic,no,no,yes,telephone,jun,thu,nonexistent,no
services,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
services,single,basic,no,no,yes,telephone,jun,thu,nonexistent,no
technician,married,professional.course,unknown,no,no,telephone,jun,thu,nonexistent,no
management,single,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
management,married,university.degree,no,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,yes
entrepreneur,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
services,married,professional.course,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,divorced,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,professional.course,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,university.degree,unknown,no,no,telephone,jun,thu,nonexistent,no
management,divorced,university.degree,no,yes,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,yes,yes,telephone,jun,thu,nonexistent,no
technician,divorced,professional.course,no,yes,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,high.school,no,no,no,telephone,jun,thu,nonexistent,yes
entrepreneur,divorced,high.school,unknown,yes,no,telephone,jun,thu,nonexistent,yes
services,married,high.school,no,yes,yes,telephone,jun,thu,nonexistent,no
services,single,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
self-employed,divorced,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,no,yes,no,telephone,jun,thu,nonexistent,yes
management,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,yes,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,thu,nonexistent,no
management,married,university.degree,unknown,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jun,thu,nonexistent,no
technician,single,professional.course,no,unknown,unknown,telephone,jun,thu,nonexistent,no
management,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,unknown,unknown,telephone,jun,thu,nonexistent,yes
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,unknown,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,high.school,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,unknown,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
services,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,jun,thu,nonexistent,no
management,single,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
admin,married,high.school,unknown,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,divorced,basic,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,university.degree,unknown,yes,no,telephone,jun,thu,nonexistent,no
admin,married,basic,unknown,yes,no,telephone,jun,thu,nonexistent,no
admin,single,high.school,no,yes,no,telephone,jun,thu,nonexistent,yes
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,divorced,unknown,unknown,yes,no,telephone,jun,thu,nonexistent,no
services,married,high.school,no,no,no,telephone,jun,thu,nonexistent,no
entrepreneur,married,university.degree,no,no,yes,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,thu,nonexistent,no
technician,married,professional.course,no,no,yes,telephone,jun,thu,nonexistent,no
technician,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,single,high.school,unknown,unknown,unknown,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,yes,no,telephone,jun,thu,nonexistent,no
admin,married,professional.course,unknown,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,thu,nonexistent,no
unemployed,single,basic,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,thu,nonexistent,no
admin,single,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
admin,single,university.degree,unknown,no,no,telephone,jun,thu,nonexistent,no
technician,married,university.degree,unknown,no,no,telephone,jun,thu,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,thu,nonexistent,no
blue-collar,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,no
services,married,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,unknown,yes,no,telephone,jun,mon,nonexistent,no
self-employed,divorced,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
admin,single,high.school,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,unknown,unknown,unknown,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
unemployed,married,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
technician,single,university.degree,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
unemployed,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,high.school,no,no,no,telephone,jun,mon,nonexistent,no
management,married,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,yes
blue-collar,divorced,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
technician,single,high.school,no,no,no,telephone,jun,mon,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
technician,married,basic,unknown,no,yes,telephone,jun,mon,nonexistent,no
admin,single,unknown,no,yes,no,telephone,jun,mon,nonexistent,no
technician,married,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
technician,single,professional.course,unknown,no,yes,telephone,jun,mon,nonexistent,no
services,divorced,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,divorced,high.school,no,no,no,telephone,jun,mon,nonexistent,yes
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,single,high.school,no,yes,yes,telephone,jun,mon,nonexistent,no
services,married,high.school,unknown,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,single,professional.course,no,yes,no,telephone,jun,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,jun,mon,nonexistent,no
technician,divorced,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
housemaid,single,unknown,no,no,no,telephone,jun,mon,nonexistent,yes
admin,single,high.school,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,divorced,high.school,no,no,no,telephone,jun,mon,nonexistent,no
services,married,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jun,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,yes
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,divorced,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
services,divorced,high.school,no,yes,no,telephone,jun,mon,nonexistent,no
unknown,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,unknown,unknown,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,no,unknown,unknown,telephone,jun,mon,nonexistent,no
retired,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,divorced,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
technician,single,professional.course,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,no,no,no,telephone,jun,mon,nonexistent,no
technician,divorced,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,single,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
management,married,university.degree,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,no,no,no,telephone,jun,mon,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
housemaid,divorced,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,married,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,university.degree,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,yes,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,yes,yes,telephone,jun,mon,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,telephone,jun,mon,nonexistent,no
technician,single,university.degree,no,yes,yes,telephone,jun,mon,nonexistent,no
blue-collar,married,unknown,unknown,no,no,telephone,jun,mon,nonexistent,no
management,divorced,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
services,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,university.degree,no,yes,yes,telephone,jun,mon,nonexistent,no
technician,married,professional.course,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
management,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
technician,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,yes
admin,single,university.degree,unknown,no,yes,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,yes
student,single,university.degree,unknown,yes,no,telephone,jun,mon,nonexistent,no
services,single,high.school,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,yes,telephone,jun,mon,nonexistent,no
admin,married,high.school,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
unemployed,divorced,high.school,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,high.school,no,no,yes,telephone,jun,mon,nonexistent,no
technician,married,university.degree,no,unknown,unknown,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
services,married,unknown,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,no,yes,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
services,divorced,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,divorced,high.school,no,no,no,telephone,jun,mon,nonexistent,no
unknown,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
admin,divorced,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
services,divorced,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
management,married,unknown,unknown,yes,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
student,single,high.school,no,yes,yes,telephone,jun,mon,nonexistent,no
technician,married,university.degree,unknown,yes,no,telephone,jun,mon,nonexistent,no
admin,single,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
technician,divorced,professional.course,no,yes,no,telephone,jun,mon,nonexistent,no
self-employed,married,basic,no,no,no,telephone,jun,mon,nonexistent,yes
management,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
self-employed,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,single,professional.course,no,yes,no,telephone,jun,mon,nonexistent,no
admin,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
unknown,single,unknown,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
management,divorced,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,high.school,no,yes,no,telephone,jun,mon,nonexistent,no
technician,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,no,no,telephone,jun,mon,nonexistent,no
technician,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
technician,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
unknown,married,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
housemaid,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,no,no,yes,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,unknown,unknown,telephone,jun,mon,nonexistent,no
entrepreneur,single,basic,no,no,no,telephone,jun,mon,nonexistent,yes
admin,single,university.degree,unknown,no,no,telephone,jun,mon,nonexistent,no
blue-collar,single,high.school,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
admin,single,high.school,no,no,no,telephone,jun,mon,nonexistent,no
entrepreneur,single,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
management,married,university.degree,no,yes,yes,telephone,jun,mon,nonexistent,no
student,single,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,no,no,telephone,jun,mon,nonexistent,no
technician,divorced,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
technician,single,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
housemaid,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,no,yes,no,telephone,jun,mon,nonexistent,no
unemployed,married,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
technician,single,high.school,no,no,no,telephone,jun,mon,nonexistent,no
technician,married,high.school,no,unknown,unknown,telephone,jun,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
services,divorced,high.school,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,no,no,no,telephone,jun,mon,nonexistent,no
admin,married,professional.course,no,no,no,telephone,jun,mon,nonexistent,no
management,married,unknown,unknown,no,yes,telephone,jun,mon,nonexistent,no
admin,divorced,high.school,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,married,high.school,no,yes,no,telephone,jun,mon,nonexistent,no
entrepreneur,married,university.degree,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,no,no,no,telephone,jun,mon,nonexistent,no
blue-collar,married,basic,no,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,basic,unknown,no,no,telephone,jun,mon,nonexistent,no
admin,single,university.degree,no,yes,no,telephone,jun,mon,nonexistent,no
unknown,single,basic,unknown,yes,no,telephone,jun,mon,nonexistent,no
blue-collar,divorced,high.school,no,no,yes,telephone,jun,mon,nonexistent,no
blue-collar,single,basic,no,yes,yes,telephone,jun,mon,nonexistent,no
